# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Full Version
# File: C:\Users\Kevin Wang\Desktop\miniproject.csv
# Generated on: Sun Apr 18 22:05:28 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Reserved,Group,PCB layer,I/O Standard,Current Strength,Slew Rate
,Unknown,PIN_R9,3,B3_N1,,,,,,
,Unknown,PIN_T8,3,B3_N1,,,,,,
,Unknown,PIN_R10,3,B3_N1,,,,,,
,Unknown,PIN_T9,3,B3_N1,,,,,,
,Unknown,PIN_V6,3,B3_N1,,,,,,
,Unknown,PIN_V5,3,B3_N1,,,,,,
,Unknown,PIN_U7,3,B3_N1,,,,,,
,Unknown,PIN_U8,3,B3_N1,,,,,,
,Unknown,PIN_Y4,3,B3_N1,,,,,,
,Unknown,PIN_R11,3,B3_N1,,,,,,
,Unknown,PIN_R12,3,B3_N1,,,,,,
,Unknown,PIN_Y3,3,B3_N1,,,,,,
,Unknown,PIN_Y6,3,B3_N1,,,,,,
,Unknown,PIN_AA3,3,B3_N1,,,,,,
,Unknown,PIN_AB3,3,B3_N1,,,,,,
,Unknown,PIN_W6,3,B3_N1,,,,,,
,Unknown,PIN_V7,3,B3_N1,,,,,,
,Unknown,PIN_AA4,3,B3_N1,,,,,,
,Unknown,PIN_AB4,3,B3_N1,,,,,,
,Unknown,PIN_AA5,3,B3_N1,,,,,,
,Unknown,PIN_AB5,3,B3_N1,,,,,,
,Unknown,PIN_W7,3,B3_N1,,,,,,
,Unknown,PIN_Y7,3,B3_N0,,,,,,
,Unknown,PIN_U9,3,B3_N0,,,,,,
,Unknown,PIN_V8,3,B3_N0,,,,,,
,Unknown,PIN_W8,3,B3_N0,,,,,,
,Unknown,PIN_AA7,3,B3_N0,,,,,,
,Unknown,PIN_AB7,3,B3_N0,,,,,,
,Unknown,PIN_Y8,3,B3_N0,,,,,,
,Unknown,PIN_V9,3,B3_N0,,,,,,
,Unknown,PIN_V10,3,B3_N0,,,,,,
,Unknown,PIN_T10,3,B3_N0,,,,,,
,Unknown,PIN_U10,3,B3_N0,,,,,,
,Unknown,PIN_AA8,3,B3_N0,,,,,,
,Unknown,PIN_AB8,3,B3_N0,,,,,,
,Unknown,PIN_T11,3,B3_N0,,,,,,
,Unknown,PIN_AA9,3,B3_N0,,,,,,
,Unknown,PIN_AB9,3,B3_N0,,,,,,
,Unknown,PIN_U11,3,B3_N0,,,,,,
,Unknown,PIN_V11,3,B3_N0,,,,,,
,Unknown,PIN_W10,3,B3_N0,,,,,,
,Unknown,PIN_Y10,3,B3_N0,,,,,,
,Unknown,PIN_AA10,3,B3_N0,,,,,,
,Unknown,PIN_AB10,3,B3_N0,,,,,,
,Unknown,PIN_AA11,3,B3_N0,,,,,,
,Unknown,PIN_AB11,3,B3_N0,,,,,,
,Unknown,PIN_AA12,4,B4_N1,,,,,,
,Unknown,PIN_AB12,4,B4_N1,,,,,,
,Unknown,PIN_AA13,4,B4_N1,,,,,,
,Unknown,PIN_AB13,4,B4_N1,,,,,,
,Unknown,PIN_AA14,4,B4_N1,,,,,,
,Unknown,PIN_AB14,4,B4_N1,,,,,,
,Unknown,PIN_V12,4,B4_N1,,,,,,
,Unknown,PIN_W13,4,B4_N1,,,,,,
,Unknown,PIN_Y13,4,B4_N1,,,,,,
,Unknown,PIN_AA15,4,B4_N1,,,,,,
,Unknown,PIN_AB15,4,B4_N1,,,,,,
,Unknown,PIN_U12,4,B4_N1,,,,,,
,Unknown,PIN_T12,4,B4_N1,,,,,,
,Unknown,PIN_AA16,4,B4_N1,,,,,,
,Unknown,PIN_AB16,4,B4_N1,,,,,,
,Unknown,PIN_AA17,4,B4_N1,,,,,,
,Unknown,PIN_AB17,4,B4_N1,,,,,,
,Unknown,PIN_R13,4,B4_N1,,,,,,
,Unknown,PIN_V13,4,B4_N1,,,,,,
,Unknown,PIN_W14,4,B4_N1,,,,,,
,Unknown,PIN_U13,4,B4_N0,,,,,,
,Unknown,PIN_V14,4,B4_N0,,,,,,
,Unknown,PIN_V15,4,B4_N0,,,,,,
,Unknown,PIN_W15,4,B4_N0,,,,,,
,Unknown,PIN_T14,4,B4_N0,,,,,,
,Unknown,PIN_T15,4,B4_N0,,,,,,
,Unknown,PIN_AB18,4,B4_N0,,,,,,
,Unknown,PIN_AA18,4,B4_N0,,,,,,
,Unknown,PIN_AA19,4,B4_N0,,,,,,
,Unknown,PIN_AB19,4,B4_N0,,,,,,
,Unknown,PIN_W17,4,B4_N0,,,,,,
,Unknown,PIN_Y17,4,B4_N0,,,,,,
,Unknown,PIN_V16,4,B4_N0,,,,,,
,Unknown,PIN_AA20,4,B4_N0,,,,,,
,Unknown,PIN_AB20,4,B4_N0,,,,,,
,Unknown,PIN_T16,4,B4_N0,,,,,,
,Unknown,PIN_R16,4,B4_N0,,,,,,
,Unknown,PIN_U15,4,B4_N0,,,,,,
,Unknown,PIN_U14,4,B4_N0,,,,,,
,Unknown,PIN_R14,4,B4_N0,,,,,,
,Unknown,PIN_R15,4,B4_N0,,,,,,
,Unknown,PIN_V17,,,,,,,,
,Unknown,PIN_V18,,,,,,,,
,Unknown,PIN_U18,,,,,,,,
,Unknown,PIN_AA22,5,B5_N1,,,,,,
,Unknown,PIN_AA21,5,B5_N1,,,,,,
,Unknown,PIN_P14,5,B5_N1,,,,,,
,Unknown,PIN_T17,5,B5_N1,,,,,,
,Unknown,PIN_T18,5,B5_N1,,,,,,
,Unknown,PIN_W20,5,B5_N1,,,,,,
,Unknown,PIN_W19,5,B5_N1,,,,,,
,Unknown,PIN_Y22,5,B5_N1,,,,,,
,Unknown,PIN_Y21,5,B5_N1,,,,,,
,Unknown,PIN_U20,5,B5_N1,,,,,,
,Unknown,PIN_U19,5,B5_N1,,,,,,
,Unknown,PIN_N14,5,B5_N1,,,,,,
,Unknown,PIN_W22,5,B5_N1,,,,,,
,Unknown,PIN_W21,5,B5_N1,,,,,,
,Unknown,PIN_P15,5,B5_N1,,,,,,
,Unknown,PIN_P16,5,B5_N1,,,,,,
,Unknown,PIN_R17,5,B5_N1,,,,,,
,Unknown,PIN_M15,5,B5_N1,,,,,,
,Unknown,PIN_N15,5,B5_N1,,,,,,
,Unknown,PIN_P17,5,B5_N1,,,,,,
,Unknown,PIN_V22,5,B5_N1,,,,,,
,Unknown,PIN_V21,5,B5_N1,,,,,,
,Unknown,PIN_R20,5,B5_N1,,,,,,
,Unknown,PIN_U22,5,B5_N0,,,,,,
,Unknown,PIN_U21,5,B5_N0,,,,,,
,Unknown,PIN_R18,5,B5_N0,,,,,,
,Unknown,PIN_R19,5,B5_N0,,,,,,
,Unknown,PIN_N16,5,B5_N0,,,,,,
,Unknown,PIN_R22,5,B5_N0,,,,,,
,Unknown,PIN_R21,5,B5_N0,,,,,,
,Unknown,PIN_P20,5,B5_N0,,,,,,
,Unknown,PIN_N20,5,B5_N0,,,,,,
,Unknown,PIN_N19,5,B5_N0,,,,,,
,Unknown,PIN_N17,5,B5_N0,,,,,,
,Unknown,PIN_N18,5,B5_N0,,,,,,
,Unknown,PIN_N22,5,B5_N0,,,,,,
,Unknown,PIN_N21,5,B5_N0,,,,,,
,Unknown,PIN_M22,5,B5_N0,,,,,,
,Unknown,PIN_M21,5,B5_N0,,,,,,
,Unknown,PIN_M20,5,B5_N0,,,,,,
,Unknown,PIN_M19,5,B5_N0,,,,,,
,Unknown,PIN_M16,5,B5_N0,,,,,,
,Unknown,PIN_T22,5,B5_N0,,,,,,
,Unknown,PIN_T21,5,B5_N0,,,,,,
,Unknown,PIN_G22,6,B6_N1,,,,,,
,Unknown,PIN_M18,6,B6_N1,,,,,,
,Unknown,PIN_M17,6,B6_N1,,,,,,
,Unknown,PIN_L18,6,B6_N1,,,,,,
,Unknown,PIN_L17,6,B6_N1,,,,,,
,Unknown,PIN_K20,6,B6_N1,,,,,,
,Unknown,PIN_L16,6,B6_N1,,,,,,
,Unknown,PIN_L15,6,B6_N1,,,,,,
,Unknown,PIN_K15,6,B6_N1,,,,,,
,Unknown,PIN_K19,6,B6_N1,,,,,,
,Unknown,PIN_J15,6,B6_N1,,,,,,
,Unknown,PIN_K22,6,B6_N1,,,,,,
,Unknown,PIN_J22,,,,,,,,
,Unknown,PIN_J21,6,B6_N1,,,,,,
,Unknown,PIN_J16,6,B6_N1,,,,,,
,Unknown,PIN_K16,6,B6_N1,,,,,,
,Unknown,PIN_H22,6,B6_N1,,,,,,
,Unknown,PIN_H21,6,B6_N1,,,,,,
,Unknown,PIN_K17,6,B6_N1,,,,,,
,Unknown,PIN_K18,6,B6_N1,,,,,,
,Unknown,PIN_J18,6,B6_N1,,,,,,
,Unknown,PIN_F22,6,B6_N1,,,,,,
,Unknown,PIN_F21,6,B6_N0,,,,,,
,Unknown,PIN_H20,6,B6_N0,,,,,,
,Unknown,PIN_H19,6,B6_N0,,,,,,
,Unknown,PIN_E22,6,B6_N0,,,,,,
,Unknown,PIN_E21,6,B6_N0,,,,,,
,Unknown,PIN_H18,6,B6_N0,,,,,,
,Unknown,PIN_H16,6,B6_N0,,,,,,
,Unknown,PIN_D22,6,B6_N0,,,,,,
,Unknown,PIN_D21,6,B6_N0,,,,,,
,Unknown,PIN_F20,6,B6_N0,,,,,,
,Unknown,PIN_F19,6,B6_N0,,,,,,
,Unknown,PIN_G18,6,B6_N0,,,,,,
,Unknown,PIN_C22,6,B6_N0,,,,,,
,Unknown,PIN_C21,6,B6_N0,,,,,,
,Unknown,PIN_B22,6,B6_N0,,,,,,
,Unknown,PIN_B21,6,B6_N0,,,,,,
,Unknown,PIN_C20,6,B6_N0,,,,,,
,Unknown,PIN_D20,6,B6_N0,,,,,,
,Unknown,PIN_F17,6,B6_N0,,,,,,
,Unknown,PIN_G17,6,B6_N0,,,,,,
,Unknown,PIN_F18,,,,,,,,
,Unknown,PIN_E18,,,,,,,,
,Unknown,PIN_E17,,,,,,,,
,Unknown,PIN_F16,7,B7_N0,,,,,,
,Unknown,PIN_E16,7,B7_N0,,,,,,
,Unknown,PIN_F15,7,B7_N0,,,,,,
,Unknown,PIN_G16,7,B7_N0,,,,,,
,Unknown,PIN_G15,7,B7_N0,,,,,,
,Unknown,PIN_F14,7,B7_N0,,,,,,
,Unknown,PIN_G14,7,B7_N0,,,,,,
,Unknown,PIN_D17,7,B7_N0,,,,,,
,Unknown,PIN_C19,7,B7_N0,,,,,,
,Unknown,PIN_D19,7,B7_N0,,,,,,
,Unknown,PIN_A20,7,B7_N0,,,,,,
,Unknown,PIN_B20,,,,,,,,
,Unknown,PIN_C17,7,B7_N0,,,,,,
,Unknown,PIN_H15,7,B7_N0,,,,,,
,Unknown,PIN_H14,7,B7_N0,,,,,,
,Unknown,PIN_B19,7,B7_N0,,,,,,
,Unknown,PIN_A19,7,B7_N0,,,,,,
,Unknown,PIN_A18,7,B7_N0,,,,,,
,Unknown,PIN_B18,7,B7_N0,,,,,,
,Unknown,PIN_D15,7,B7_N0,,,,,,
,Unknown,PIN_E15,7,B7_N0,,,,,,
,Unknown,PIN_G13,7,B7_N1,,,,,,
,Unknown,PIN_A17,7,B7_N1,,,,,,
,Unknown,PIN_B17,7,B7_N1,,,,,,
,Unknown,PIN_A16,7,B7_N1,,,,,,
,Unknown,PIN_B16,7,B7_N1,,,,,,
,Unknown,PIN_C15,7,B7_N1,,,,,,
,Unknown,PIN_E13,7,B7_N1,,,,,,
,Unknown,PIN_E12,7,B7_N1,,,,,,
,Unknown,PIN_A12,7,B7_N1,,,,,,
,Unknown,PIN_B12,7,B7_N1,,,,,,
,Unknown,PIN_A11,8,B8_N0,,,,,,
,Unknown,PIN_B11,8,B8_N0,,,,,,
,Unknown,PIN_H11,8,B8_N0,,,,,,
,Unknown,PIN_D10,8,B8_N0,,,,,,
,Unknown,PIN_E10,8,B8_N0,,,,,,
,Unknown,PIN_A10,8,B8_N0,,,,,,
,Unknown,PIN_B10,8,B8_N0,,,,,,
,Unknown,PIN_A9,8,B8_N0,,,,,,
,Unknown,PIN_B9,8,B8_N0,,,,,,
,Unknown,PIN_C10,8,B8_N0,,,,,,
,Unknown,PIN_G11,8,B8_N0,,,,,,
,Unknown,PIN_A8,8,B8_N0,,,,,,
,Unknown,PIN_B8,8,B8_N0,,,,,,
,Unknown,PIN_A7,8,B8_N0,,,,,,
,Unknown,PIN_B7,8,B8_N0,,,,,,
,Unknown,PIN_A6,8,B8_N0,,,,,,
,Unknown,PIN_B6,8,B8_N0,,,,,,
,Unknown,PIN_E9,8,B8_N0,,,,,,
,Unknown,PIN_C8,8,B8_N0,,,,,,
,Unknown,PIN_C7,8,B8_N0,,,,,,
,Unknown,PIN_G10,8,B8_N0,,,,,,
,Unknown,PIN_G9,8,B8_N0,,,,,,
,Unknown,PIN_H10,8,B8_N0,,,,,,
,Unknown,PIN_H9,8,B8_N0,,,,,,
,Unknown,PIN_A5,8,B8_N0,,,,,,
,Unknown,PIN_B5,8,B8_N1,,,,,,
,Unknown,PIN_F9,8,B8_N1,,,,,,
,Unknown,PIN_F10,8,B8_N1,,,,,,
,Unknown,PIN_C6,8,B8_N1,,,,,,
,Unknown,PIN_A4,8,B8_N1,,,,,,
,Unknown,PIN_B4,8,B8_N1,,,,,,
,Unknown,PIN_F8,8,B8_N1,,,,,,
,Unknown,PIN_G8,8,B8_N1,,,,,,
,Unknown,PIN_A3,8,B8_N1,,,,,,
,Unknown,PIN_B3,8,B8_N1,,,,,,
,Unknown,PIN_D6,8,B8_N1,,,,,,
,Unknown,PIN_E7,8,B8_N1,,,,,,
,Unknown,PIN_C3,8,B8_N1,,,,,,
,Unknown,PIN_C4,8,B8_N1,,,,,,
,Unknown,PIN_F7,8,B8_N1,,,,,,
,Unknown,PIN_G7,8,B8_N1,,,,,,
,Unknown,PIN_E6,8,B8_N1,,,,,,
,Unknown,PIN_E5,8,B8_N1,,,,,,
,Unknown,PIN_J11,,,,,,,,
,Unknown,PIN_J12,,,,,,,,
,Unknown,PIN_L14,,,,,,,,
,Unknown,PIN_M14,,,,,,,,
,Unknown,PIN_P11,,,,,,,,
,Unknown,PIN_P12,,,,,,,,
,Unknown,PIN_L9,,,,,,,,
,Unknown,PIN_M9,,,,,,,,
,Unknown,PIN_J13,,,,,,,,
,Unknown,PIN_J14,,,,,,,,
,Unknown,PIN_K14,,,,,,,,
,Unknown,PIN_J10,,,,,,,,
,Unknown,PIN_K9,,,,,,,,
,Unknown,PIN_N9,,,,,,,,
,Unknown,PIN_P9,,,,,,,,
,Unknown,PIN_P10,,,,,,,,
,Unknown,PIN_P13,,,,,,,,
,Unknown,PIN_U16,,,,,,,,
,Unknown,PIN_U17,,,,,,,,
,Unknown,PIN_T13,,,,,,,,
,Unknown,PIN_J8,,,,,,,,
,Unknown,PIN_D4,1,,,,,,,
,Unknown,PIN_F4,1,,,,,,,
,Unknown,PIN_K4,1,,,,,,,
,Unknown,PIN_H4,1,,,,,,,
,Unknown,PIN_N4,2,,,,,,,
,Unknown,PIN_U4,2,,,,,,,
,Unknown,PIN_W4,2,,,,,,,
,Unknown,PIN_R4,2,,,,,,,
,Unknown,PIN_AB2,3,,,,,,,
,Unknown,PIN_W5,3,,,,,,,
,Unknown,PIN_W9,3,,,,,,,
,Unknown,PIN_W11,3,,,,,,,
,Unknown,PIN_AA6,3,,,,,,,
,Unknown,PIN_AB21,4,,,,,,,
,Unknown,PIN_W12,4,,,,,,,
,Unknown,PIN_W16,4,,,,,,,
,Unknown,PIN_W18,4,,,,,,,
,Unknown,PIN_Y14,4,,,,,,,
,Unknown,PIN_P18,5,,,,,,,
,Unknown,PIN_V19,5,,,,,,,
,Unknown,PIN_Y19,5,,,,,,,
,Unknown,PIN_T19,5,,,,,,,
,Unknown,PIN_E19,6,,,,,,,
,Unknown,PIN_G19,6,,,,,,,
,Unknown,PIN_L19,6,,,,,,,
,Unknown,PIN_J20,6,,,,,,,
,Unknown,PIN_A21,7,,,,,,,
,Unknown,PIN_D12,7,,,,,,,
,Unknown,PIN_D14,7,,,,,,,
,Unknown,PIN_D16,7,,,,,,,
,Unknown,PIN_D18,7,,,,,,,
,Unknown,PIN_A2,8,,,,,,,
,Unknown,PIN_D5,8,,,,,,,
,Unknown,PIN_D9,8,,,,,,,
,Unknown,PIN_D11,8,,,,,,,
,Unknown,PIN_E8,8,,,,,,,
,Unknown,PIN_L10,,,,,,,,
,Unknown,PIN_L11,,,,,,,,
,Unknown,PIN_M10,,,,,,,,
,Unknown,PIN_M11,,,,,,,,
,Unknown,PIN_L12,,,,,,,,
,Unknown,PIN_L13,,,,,,,,
,Unknown,PIN_M12,,,,,,,,
,Unknown,PIN_M13,,,,,,,,
,Unknown,PIN_N11,,,,,,,,
,Unknown,PIN_K11,,,,,,,,
,Unknown,PIN_N12,,,,,,,,
,Unknown,PIN_K12,,,,,,,,
,Unknown,PIN_K13,,,,,,,,
,Unknown,PIN_N13,,,,,,,,
,Unknown,PIN_N10,,,,,,,,
,Unknown,PIN_K10,,,,,,,,
,Unknown,PIN_J9,,,,,,,,
,Unknown,PIN_D7,,,,,,,,
,Unknown,PIN_J5,,,,,,,,
,Unknown,PIN_H8,,,,,,,,
,Unknown,PIN_A1,,,,,,,,
,Unknown,PIN_C5,,,,,,,,
,Unknown,PIN_C9,,,,,,,,
,Unknown,PIN_C11,,,,,,,,
,Unknown,PIN_C12,,,,,,,,
,Unknown,PIN_C14,,,,,,,,
,Unknown,PIN_C16,,,,,,,,
,Unknown,PIN_A22,,,,,,,,
,Unknown,PIN_E20,,,,,,,,
,Unknown,PIN_G20,,,,,,,,
,Unknown,PIN_L20,,,,,,,,
,Unknown,PIN_P19,,,,,,,,
,Unknown,PIN_V20,,,,,,,,
,Unknown,PIN_Y20,,,,,,,,
,Unknown,PIN_AB22,,,,,,,,
,Unknown,PIN_Y18,,,,,,,,
,Unknown,PIN_Y16,,,,,,,,
,Unknown,PIN_Y12,,,,,,,,
,Unknown,PIN_Y11,,,,,,,,
,Unknown,PIN_Y9,,,,,,,,
,Unknown,PIN_Y5,,,,,,,,
,Unknown,PIN_AB1,,,,,,,,
,Unknown,PIN_N3,,,,,,,,
,Unknown,PIN_U3,,,,,,,,
,Unknown,PIN_W3,,,,,,,,
,Unknown,PIN_D3,,,,,,,,
,Unknown,PIN_F3,,,,,,,,
,Unknown,PIN_K3,,,,,,,,
,Unknown,PIN_H3,,,,,,,,
,Unknown,PIN_R3,,,,,,,,
,Unknown,PIN_AB6,,,,,,,,
,Unknown,PIN_Y15,,,,,,,,
,Unknown,PIN_T20,,,,,,,,
,Unknown,PIN_J19,,,,,,,,
,Unknown,PIN_C18,,,,,,,,
,Unknown,PIN_D8,,,,,,,,
